Hi,hi,hi,138127,INTJ,compound,False
Sue,Sue,sue,310062,PROPN,npadvmod,False
a,a,a,0,DET,det,True
few,few,few,111900,ADJ,amod,True
months,month,month,192909,NOUN,npadvmod,False
ago,ago,ago,6337,ADV,advmod,False
i,i,i,145455,PRON,nsubj,True
told,tell,tell,318356,VERB,ROOT,False
how,how,how,144540,ADV,advmod,True
ILL,ILL,ill,147293,PROPN,attr,False
i,i,i,145455,PRON,nsubj,True
was,be,be,29345,AUX,ccomp,True
were,be,be,29345,AUX,ROOT,True
extremely,extremely,extremely,108713,ADV,advmod,False
nice,nice,nice,199579,ADJ,acomp,False
i,i,i,145455,PRON,nsubj,True
think,think,think,321897,VERB,ROOT,False
maybe,maybe,maybe,177755,ADV,advmod,False
thought,think,think,321897,VERB,ccomp,False
