Not,not,not,208798,PART,neg,True
on,on,on,212644,ADP,prep,True
those,those,those,322465,DET,det,True
sympathy,sympathy,sympathy,290940,NOUN,pobj,False
or,or,or,213904,CCONJ,cc,True
public,public,public,255902,ADJ,amod,False
opinions,opinion,opinion,213551,NOUN,conj,False
from,from,from,119298,ADP,prep,True
the,the,the,320691,DET,det,True
Korean,korean,korean,166084,ADJ,amod,False
general,general,general,123444,ADJ,amod,False
public,public,public,255902,NOUN,pobj,False
and,and,and,12285,CCONJ,cc,True
even,even,even,106079,ADV,advmod,True
from,from,from,119298,ADP,conj,True
those,those,those,322465,DET,det,True
crazy,crazy,crazy,72341,ADJ,amod,False
Kpoppies,Kpoppies,koppies,166063,PROPN,pobj,False
said,say,say,276740,VERB,ROOT,False
