Why,why,why,364728,ADV,advmod,True
r,r,r,259188,NOUN,amod,False
people,people,people,230162,NOUN,nsubj,False
on,on,on,212644,ADP,prep,True
Twitter,Twitter,twitter,333475,PROPN,pobj,False
hating,hate,hate,134216,VERB,acl,False
on,on,on,212644,ADP,prep,True
s,s,s,275971,PROPN,compound,False
series,series,series,286094,NOUN,ROOT,False
of,of,of,211535,ADP,prep,True
interactions,interaction,interaction,154423,NOUN,pobj,False
with,with,with,366582,ADP,prep,True
experts,expert,expert,107746,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
different,different,different,85278,ADJ,amod,False
fields,field,field,112319,NOUN,pobj,False
are,be,be,29345,AUX,ROOT,True
inform,inform,inform,152203,ADJ,attr,False
