if,if,if,146980,SCONJ,mark,True
re,be,be,29345,VERB,ROOT,True
white,white,white,365106,ADJ,acomp,False
and,and,and,12285,CCONJ,cc,True
re,be,be,29345,VERB,aux,True
not,not,not,208798,PART,neg,True
talking,talk,talk,315639,VERB,ROOT,False
about,about,about,756,ADP,prep,True
in,in,in,149313,ADP,prep,True
order,order,order,214218,NOUN,pobj,False
to,to,to,324862,PART,aux,True
stay,stay,stay,302393,VERB,acl,False
neutral,neutral,neutral,199300,ADJ,acomp,False
re,be,be,29345,VERB,ROOT,True
not,not,not,208798,PART,neg,True
neutral,neutral,neutral,199300,ADJ,acomp,False
re,be,be,29345,VERB,ROOT,True
just,just,just,162503,ADV,advmod,True
racist,racist,racist,259430,ADJ,acomp,False
