never,never,never,199350,ADV,neg,True
thought,think,think,321897,VERB,ROOT,False
'd,'d,d,75936,VERB,aux,True
see,see,see,283054,VERB,ccomp,True
this,this,this,322217,DET,dobj,True
on,on,on,212644,ADP,prep,True
radar,radar,radar,259491,NOUN,pobj,False
Smoke,smoke,smoke,294987,NOUN,compound,False
plume,plume,plume,240421,NOUN,ROOT,False
from,from,from,119298,ADP,prep,True
Lake,Lake,lake,167480,PROPN,compound,False
Street,Street,street,306018,PROPN,compound,False
fires,fire,fire,113100,NOUN,pobj,False
in,in,in,149313,ADP,prep,True
Minneapolis,Minneapolis,minneapolis,187970,PROPN,pobj,False
visible,visible,visible,360396,ADJ,amod,False
on,on,on,212644,ADP,prep,True
Doppler,Doppler,doppler,91631,PROPN,pobj,False
Drifting,drift,drift,93060,VERB,compound,False
sout,sout,scout,281449,VERB,ROOT,False
