Ppl,Ppl,ppl,245060,PROPN,nsubj,False
clearly,clearly,clearly,59664,ADV,advmod,False
have,have,have,134390,AUX,ROOT,True
lots,lot,lot,175365,NOUN,dobj,False
of,of,of,211535,ADP,prep,True
energy,energy,energy,100134,NOUN,pobj,False
for,for,for,116301,ADP,prep,True
fanwars,fanwar,kanwar,163105,NOUN,pobj,False
so,so,so,295959,ADV,advmod,True
how,how,how,144540,ADV,advmod,True
about,about,about,756,ADP,advmod,True
actually,actually,actually,3298,ADV,advmod,False
use,use,use,355958,VERB,ROOT,False
that,that,that,320639,DET,det,True
energy,energy,energy,100134,NOUN,dobj,False
for,for,for,116301,ADP,prep,True
something,something,something,297061,PRON,pobj,True
important,important,important,148877,ADJ,amod,False
for,for,for,116301,ADP,prep,True
once,once,once,212661,ADV,pcomp,True
