Decided,decide,decide,78310,VERB,ccomp,False
on,on,on,212644,ADP,prep,True
the,the,the,320691,DET,det,True
sale,sale,sale,276966,NOUN,pobj,False
of,of,of,211535,ADP,prep,True
Transformer,Transformer,transformer,327898,PROPN,pobj,False
so,so,so,295959,ADV,advmod,True
far,far,far,109839,ADV,advmod,False
this,this,this,322217,DET,nsubj,True
is,be,be,29345,AUX,ROOT,True
a,a,a,0,DET,det,True
slow,slow,slow,294448,ADJ,amod,False
painful,painful,painful,223141,ADJ,amod,False
process,process,process,251194,NOUN,attr,False
anybody,anybody,anybody,13088,PRON,ROOT,False
in,in,in,149313,ADP,prep,True
the,the,the,320691,DET,det,True
market,market,market,180157,NOUN,pobj,False
for,for,for,116301,ADP,prep,True
Robot,Robot,robot,273593,PROPN,compound,False
Masters,Masters,masters,180872,PROPN,compound,False
B,B,b,25416,PROPN,pobj,False
