Ok,ok,ok,211942,INTJ,npadvmod,False
ve,have,have,134390,VERB,aux,False
clapped,clap,clap,59240,VERB,ROOT,False
for,for,for,116301,ADP,prep,True
the,the,the,320691,DET,det,True
NHS,NHS,hs,144599,PROPN,pobj,False
ve,have,have,134390,VERB,aux,False
signed,sign,sign,290081,VERB,ccomp,False
some,some,some,297029,DET,det,True
BLM,BLM,balm,27067,PROPN,compound,False
petitions,petition,petition,232417,NOUN,dobj,False
amp,amp,amp,10991,NOUN,conj,False
might,may,may,177739,VERB,aux,True
go,go,go,127161,VERB,ROOT,True
to,to,to,324862,ADP,prep,True
a,a,a,0,DET,det,True
protest,protest,protest,253491,NOUN,pobj,False
But,but,but,43550,CCONJ,cc,True
are,be,be,29345,AUX,aux,True
going,go,go,127161,VERB,ROOT,False
to,to,to,324862,PART,aux,True
vote,vote,vote,361409,VERB,xcomp,False
the,the,the,320691,DET,det,True
cons,con,con,65024,NOUN,dobj,False
